dataset,profile_type,metric_a,metric_b,correlation,pvalue,confidence_interval
Movies_and_TV,vanilla_structured,bertscore_precision,hit_rate_at_1,-0.420268909221001,0.22655621977337104,"(-0.8302110939911842, 0.2846898415846381)"
Movies_and_TV,vanilla_structured,bertscore_precision,hit_rate_at_5,0.2474491745130998,0.49064910289182895,"(-0.4527094953561865, 0.758846763447525)"
Movies_and_TV,vanilla_structured,bertscore_precision,hit_rate_at_10,0.7851225705519594,0.007130708839388721,"(0.3075077514456028, 0.9467421887452735)"
Movies_and_TV,vanilla_structured,bertscore_precision,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,vanilla_structured,bertscore_precision,ndcg_at_5,0.7369838013256298,0.015025628622466577,"(0.2003029574247281, 0.9334612977712939)"
Movies_and_TV,vanilla_structured,bertscore_precision,ndcg_at_10,0.7369838013256298,0.015025628622466577,"(0.2003029574247281, 0.9334612977712939)"
Movies_and_TV,vanilla_structured,bertscore_precision,true_positive,0.06804424741802399,0.8518404599408855,"(-0.5867185100913711, 0.669008582554258)"
Movies_and_TV,vanilla_structured,bertscore_precision,true_negative,-0.308666532346449,0.3855283946459794,"(-0.7856131796513002, 0.39838342152429224)"
Movies_and_TV,vanilla_structured,bertscore_precision,accuracy,0.08764315217867415,0.809746488277224,"(-0.5736378826121229, 0.679758712508754)"
Movies_and_TV,vanilla_structured,bertscore_recall,hit_rate_at_1,0.06465102670495815,0.8591655163329696,"(-0.5889490248933174, 0.6671214886102407)"
Movies_and_TV,vanilla_structured,bertscore_recall,hit_rate_at_5,-0.037870545872091606,0.9172768886376299,"(-0.6519515239547657, 0.6062104124160881)"
Movies_and_TV,vanilla_structured,bertscore_recall,hit_rate_at_10,-0.2003785529202653,0.5788515372498243,"(-0.7370197795281009, 0.491222099334857)"
Movies_and_TV,vanilla_structured,bertscore_recall,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,vanilla_structured,bertscore_recall,ndcg_at_5,0.0012784191193492428,0.9972034627469626,"(-0.6288540624429926, 0.6303972961442722)"
Movies_and_TV,vanilla_structured,bertscore_recall,ndcg_at_10,0.0012784191193492428,0.9972034627469626,"(-0.6288540624429926, 0.6303972961442722)"
Movies_and_TV,vanilla_structured,bertscore_recall,true_positive,-0.0125132548349223,0.9726315407126895,"(-0.6371198950498226, 0.6220136888475418)"
Movies_and_TV,vanilla_structured,bertscore_recall,true_negative,0.27971790285308784,0.43378645882515465,"(-0.4247068034590931, 0.7731744585403014)"
Movies_and_TV,vanilla_structured,bertscore_recall,accuracy,-0.07311107676395152,0.8409216465270863,"(-0.6718120821536474, 0.5833692605724848)"
Movies_and_TV,vanilla_structured,bertscore_f1,hit_rate_at_1,-0.1216790239224062,0.7377331479011493,"(-0.6978420316888814, 0.5500910224211211)"
Movies_and_TV,vanilla_structured,bertscore_f1,hit_rate_at_5,0.06118340834337672,0.8666611830303309,"(-0.5912182035063352, 0.6651849978945911)"
Movies_and_TV,vanilla_structured,bertscore_f1,hit_rate_at_10,0.14316076912460005,0.6931755785416269,"(-0.5346584608866107, 0.7088893531122633)"
Movies_and_TV,vanilla_structured,bertscore_f1,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,vanilla_structured,bertscore_f1,ndcg_at_5,0.31001817327138054,0.38334185482671485,"(-0.397125221141829, 0.7861846857580441)"
Movies_and_TV,vanilla_structured,bertscore_f1,ndcg_at_10,0.31001817327138054,0.38334185482671485,"(-0.397125221141829, 0.7861846857580441)"
Movies_and_TV,vanilla_structured,bertscore_f1,true_positive,0.024361373773439512,0.946741110274562,"(-0.6146934398322896, 0.6441079841433024)"
Movies_and_TV,vanilla_structured,bertscore_f1,true_negative,0.12104144251965769,0.7390671351501876,"(-0.5505421577949923, 0.697509902468209)"
Movies_and_TV,vanilla_structured,bertscore_f1,accuracy,-0.0310899906852286,0.9320563442539794,"(-0.6480310344443247, 0.610486631804254)"
Movies_and_TV,vanilla_structured,consistency,hit_rate_at_1,-0.25528457777880353,0.4765573408516072,"(-0.7623718840055878, 0.44603459568526355)"
Movies_and_TV,vanilla_structured,consistency,hit_rate_at_5,-0.21281294278346582,0.5549884254408683,"(-0.7428965797269876, 0.48130462862273204)"
Movies_and_TV,vanilla_structured,consistency,hit_rate_at_10,0.08144161059245171,0.8230234270059396,"(-0.5778136932235316, 0.6763844195372377)"
Movies_and_TV,vanilla_structured,consistency,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,vanilla_structured,consistency,ndcg_at_5,-0.07347335718636673,0.8401418607945279,"(-0.6720118786418136, 0.5831289295301199)"
Movies_and_TV,vanilla_structured,consistency,ndcg_at_10,-0.07347335718636673,0.8401418607945279,"(-0.6720118786418136, 0.5831289295301199)"
Movies_and_TV,vanilla_structured,consistency,true_positive,0.3255802557953381,0.35860844182153373,"(-0.3824449164716082, 0.7927065544283076)"
Movies_and_TV,vanilla_structured,consistency,true_negative,-0.23864245991359848,0.5066972712211795,"(-0.7548485602576283, 0.4601193326846231)"
Movies_and_TV,vanilla_structured,consistency,accuracy,0.0702548824508966,0.8470737393489175,"(-0.585259996932636, 0.6702338433822345)"
Movies_and_TV,vanilla_structured,nepc,hit_rate_at_1,0.5860764428086365,0.07498795430305384,"(-0.06901820693160529, 0.8880165263460339)"
Movies_and_TV,vanilla_structured,nepc,hit_rate_at_5,0.10632452177121965,0.770026671754235,"(-0.5608475587553613, 0.6897740919632249)"
Movies_and_TV,vanilla_structured,nepc,hit_rate_at_10,-0.11378680673975984,0.7542891308137794,"(-0.6937132905830604, 0.5556478660421889)"
Movies_and_TV,vanilla_structured,nepc,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,vanilla_structured,nepc,ndcg_at_5,-0.48494855350446747,0.15542296899628538,"(-0.8538602654111159, 0.208270217854143)"
Movies_and_TV,vanilla_structured,nepc,ndcg_at_10,-0.48494855350446747,0.15542296899628538,"(-0.8538602654111159, 0.208270217854143)"
Movies_and_TV,vanilla_structured,nepc,true_positive,0.3453366022099344,0.32840275286898857,"(-0.36327841681012196, 0.800834950918635)"
Movies_and_TV,vanilla_structured,nepc,true_negative,0.013491858433438456,0.970491931428865,"(-0.6214132411211261, 0.6377009979479479)"
Movies_and_TV,vanilla_structured,nepc,accuracy,0.3630399886733294,0.30250019031808506,"(-0.3455784754762491, 0.8079788641218314)"
