dataset,profile_type,metric_a,metric_b,correlation,pvalue,confidence_interval
Movies_and_TV,vanilla,bertscore_precision,hit_rate_at_1,-0.47458434587080706,0.16576633125908483,"(-0.8501705238635333, 0.22111286283740902)"
Movies_and_TV,vanilla,bertscore_precision,hit_rate_at_5,0.3399790095119269,0.3364599994933475,"(-0.36853600769269285, 0.7986471251458575)"
Movies_and_TV,vanilla,bertscore_precision,hit_rate_at_10,0.12484298299032157,0.7311226998071725,"(-0.5478464748186053, 0.6994865453311719)"
Movies_and_TV,vanilla,bertscore_precision,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,vanilla,bertscore_precision,ndcg_at_5,0.3892835320736255,0.26617856331080886,"(-0.31837829015587626, 0.8183336716952303)"
Movies_and_TV,vanilla,bertscore_precision,ndcg_at_10,0.12836232422651786,0.7237884436175741,"(-0.5453383855248973, 0.7013086522362593)"
Movies_and_TV,vanilla,bertscore_precision,true_positive,0.36946780133204477,0.29337274056722223,"(-0.33902467073621534, 0.8105407309522742)"
Movies_and_TV,vanilla,bertscore_precision,true_negative,-0.21012351989242967,0.5601170412377167,"(-0.7416323797016592, 0.48346483737401424)"
Movies_and_TV,vanilla,bertscore_precision,accuracy,0.2357239537767663,0.5120635188726016,"(-0.46255363199486227, 0.75351505589846)"
Movies_and_TV,vanilla,bertscore_recall,hit_rate_at_1,0.002766204881279231,0.993948973124132,"(-0.6279537871362286, 0.6312929978195095)"
Movies_and_TV,vanilla,bertscore_recall,hit_rate_at_5,-0.6580464114588165,0.038599823151957334,"(-0.9104514411816896, -0.048525257034159046)"
Movies_and_TV,vanilla,bertscore_recall,hit_rate_at_10,-0.37435775126045184,0.2865290435388824,"(-0.8124784287727782, 0.33399238701122924)"
Movies_and_TV,vanilla,bertscore_recall,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,vanilla,bertscore_recall,ndcg_at_5,-0.25985695359804484,0.4684168473616463,"(-0.7644151689825324, 0.4421030529337284)"
Movies_and_TV,vanilla,bertscore_recall,ndcg_at_10,0.00038935713260235185,0.999148281401552,"(-0.629391238197367, 0.6298612473567855)"
Movies_and_TV,vanilla,bertscore_recall,true_positive,0.03861227053513707,0.9156614741109692,"(-0.6057403662532725, 0.6523784031677348)"
Movies_and_TV,vanilla,bertscore_recall,true_negative,0.41465362908665054,0.2334717719436355,"(-0.2909269598693931, 0.8280858899957124)"
Movies_and_TV,vanilla,bertscore_recall,accuracy,0.11485473589531729,0.7520434375161139,"(-0.5548994287853977, 0.6942742065469483)"
Movies_and_TV,vanilla,bertscore_f1,hit_rate_at_1,-0.2950525096546939,0.40788686560418175,"(-0.7798111024211024, 0.41090963183532564)"
Movies_and_TV,vanilla,bertscore_f1,hit_rate_at_5,-0.42536064594360734,0.22038736892348845,"(-0.8321279067154825, 0.27898217129700714)"
Movies_and_TV,vanilla,bertscore_f1,hit_rate_at_10,-0.29693006427106505,0.40476739620223917,"(-0.7806162676403265, 0.4091978021510182)"
Movies_and_TV,vanilla,bertscore_f1,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,vanilla,bertscore_f1,ndcg_at_5,-0.010747489300856658,0.9764925825869725,"(-0.6360695692950419, 0.6230952354368307)"
Movies_and_TV,vanilla,bertscore_f1,ndcg_at_10,0.07926376944390534,0.8276957659863098,"(-0.5792720002535134, 0.67519348954663)"
Movies_and_TV,vanilla,bertscore_f1,true_positive,0.27713309998589186,0.4382250461705374,"(-0.42700067058513835, 0.7720450388429666)"
Movies_and_TV,vanilla,bertscore_f1,true_negative,0.27840432186835046,0.4360395253862009,"(-0.4258736640426893, 0.7726008852482456)"
Movies_and_TV,vanilla,bertscore_f1,accuracy,0.27418278200904367,0.4433165962691501,"(-0.4296078831850801, 0.7707520774332502)"
Movies_and_TV,vanilla,consistency,hit_rate_at_1,-0.07474781794301914,0.8373996634765857,"(-0.6727140478851455, 0.5822825583290355)"
Movies_and_TV,vanilla,consistency,hit_rate_at_5,0.5416133002120318,0.10587127590897587,"(-0.1335582202028583, 0.8733985024906089)"
Movies_and_TV,vanilla,consistency,hit_rate_at_10,0.5350808347549372,0.1109897332588568,"(-0.1425812146331312, 0.871199261889643)"
Movies_and_TV,vanilla,consistency,ndcg_at_1,0.0,1.0,"(nan, nan)"
Movies_and_TV,vanilla,consistency,ndcg_at_5,0.40780756023663955,0.24206225999753267,"(-0.2984508905839436, 0.8254786960951674)"
